step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BOTH,2,35.93,36.09,35.93,35.4,36.0,36.02,0,1,,,,0,0,100,96400.0,-7.0,99993.0,-7.0,-0.035,-68.0,0.2,0.0,0.0,0.0,0.0,0,-0.335,-68.235
2,QUOTE_ASK,1,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,100.0,0,0,0,99967.0,-33.0,99967.0,-26.0,-0.13,5.0,0.0,0.005,0.0,0.0,0.0,0,0.023,4.875
3,QUOTE_BID,0,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,13600.0,0,0,100,96402.0,-5.0,99995.0,28.0,0.11200000000000002,4.999,0.2,0.0,0.0,0.0,0.0,0,0.024,4.911
4,QUOTE_ASK,1,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,400.0,0,0,0,99969.0,-31.0,99969.0,-26.0,-0.13,5.0,0.0,0.005,0.0,0.0,0.0,0,0.023,4.875
5,NO_QUOTE,3,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,1000.0,0,0,0,99969.0,-31.0,99969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
6,QUOTE_BOTH,2,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,15900.0,0,0,0,99971.0,-29.0,99971.0,2.0,0.008,10.0,0.0,0.0,0.0,0.0,0.0,0,0.049,10.008
7,QUOTE_BID,0,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,1700.0,0,0,100,96406.0,-1.0,99999.0,28.0,0.11200000000000002,4.999,0.2,0.0,0.0,0.0,0.0,0,0.024,4.911
8,QUOTE_BID,0,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,26000.0,0,0,200,92841.0,27.0,100027.0,28.0,0.11200000000000002,4.999,0.8,0.0,0.0,0.0,0.0,0,0.021,4.311
9,QUOTE_ASK,1,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,5900.0,0,0,100,96408.0,1.0,100001.0,-26.0,-0.13,5.0,0.2,0.01,0.0,0.0,0.0,0,0.022,4.68
10,QUOTE_ASK,1,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,8000.0,0,0,0,99975.0,-25.0,99975.0,-26.0,-0.13,5.0,0.0,0.005,0.0,0.0,0.0,0,0.023,4.875
11,QUOTE_ASK,1,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,700.0,0,0,-100,103542.0,2.0,100002.0,27.0,0.10800000000000001,5.0,0.2,0.0,0.0,0.0,0.0,0,0.024,4.908
12,QUOTE_BID,0,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,29900.0,0,0,0,99977.0,-23.0,99977.0,-25.0,-0.125,4.999,0.0,0.005,0.0,0.0,0.0,0,0.023,4.879
13,QUOTE_ASK,1,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,7900.0,0,0,-100,103544.0,4.0,100004.0,27.0,0.10800000000000001,5.0,0.2,0.0,0.0,0.0,0.0,0,0.024,4.908
14,NO_QUOTE,3,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,800.0,0,0,-100,103544.0,4.0,100004.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
15,QUOTE_BID,0,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,1400.0,0,0,0,99979.0,-21.0,99979.0,-25.0,-0.125,4.999,0.0,0.005,0.0,0.0,0.0,0,0.023,4.879
16,QUOTE_BID,0,35.93,35.4,35.93,35.4,35.65,35.67,0,0,35.02,BID,7500.0,0,0,100,96414.0,7.0,100007.0,28.0,0.11200000000000002,4.999,0.2,0.0,0.0,0.0,0.0,0,0.024,4.911
