step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BID,0,34.17,34.18,34.17,34.2,34.16,34.18,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,QUOTE_BOTH,2,34.17,34.2,34.18,34.2,34.17,34.19,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,QUOTE_ASK,1,34.18,34.2,34.18,34.2,34.18,34.2,0,0,34.2,BID,300.0,0,100,-100,103420.0,0.0,100000.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0,0.023,4.8
4,QUOTE_BID,0,34.18,34.2,34.18,34.2,34.18,34.2,1,0,34.2,BID,100.0,0,0,-100,103420.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
5,QUOTE_BID,0,34.18,34.2,34.18,34.19,34.18,34.2,1,0,,,,0,0,-100,103420.0,1.0,100001.0,1.0,0.004,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.191
6,QUOTE_BID,0,34.18,34.19,34.18,34.19,34.17,34.19,1,0,34.18,ASK,200.0,0,0,-100,103420.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
7,QUOTE_BID,0,34.18,34.19,34.18,34.19,34.17,34.19,1,0,34.18,ASK,100.0,0,0,-100,103420.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
8,QUOTE_BID,0,34.18,34.19,34.18,34.19,34.17,34.19,1,0,34.19,BID,100.0,0,0,-100,103420.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
9,NO_QUOTE,3,34.18,34.19,34.18,34.19,34.17,34.19,0,0,34.2,BID,200.0,0,0,-100,103420.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
10,QUOTE_BID,0,34.18,34.19,34.19,34.2,34.17,34.19,1,0,,,,0,0,-100,103420.0,0.0,100000.0,-1.0,-0.005,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.2
11,QUOTE_BID,0,34.19,34.2,34.19,34.2,34.18,34.2,1,0,34.19,ASK,100.0,0,0,-100,103420.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
12,QUOTE_BID,0,34.19,34.2,34.19,34.2,34.18,34.2,1,0,34.19,ASK,200.0,0,0,-100,103420.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
13,QUOTE_BID,0,34.19,34.2,34.19,34.22,34.18,34.2,1,0,,,,0,0,-100,103420.0,-2.0,99998.0,-2.0,-0.01,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.205
14,QUOTE_BID,0,34.19,34.22,34.2,34.22,34.19,34.21,1,0,,,,0,0,-100,103420.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
15,QUOTE_BID,0,34.2,34.22,34.2,34.22,34.2,34.22,0,0,34.2,ASK,100.0,100,0,0,100000.0,0.0,100000.0,2.0,0.008,4.999,0.0,0.005,0.0,0.0,0.0,0,0.024,5.012
16,QUOTE_BOTH,2,34.2,34.22,34.2,34.22,34.2,34.22,1,0,34.22,BID,100.0,0,100,-100,103422.0,0.0,100000.0,0.0,0.0,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.799
17,QUOTE_BID,0,34.2,34.22,34.2,34.22,34.2,34.22,0,0,34.2,ASK,200.0,100,0,0,100002.0,2.0,100002.0,2.0,0.008,4.999,0.0,0.005,0.0,0.0,0.0,0,0.024,5.012
18,QUOTE_BOTH,2,34.2,34.22,34.2,34.22,34.2,34.22,0,1,34.2,ASK,1900.0,100,0,100,96582.0,2.0,100002.0,0.0,0.0,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.799
19,NO_QUOTE,3,34.2,34.22,34.2,34.22,34.2,34.22,0,0,34.2,ASK,400.0,0,0,100,96582.0,2.0,100002.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
20,QUOTE_ASK,1,34.2,34.22,34.18,34.22,34.2,34.22,0,1,,,,0,0,100,96582.0,0.0,100000.0,-2.0,-0.01,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.205
21,QUOTE_ASK,1,34.18,34.22,34.18,34.21,34.19,34.21,0,1,,,,0,0,100,96582.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
22,QUOTE_BOTH,2,34.18,34.21,34.19,34.21,34.18,34.2,1,1,,,,0,0,100,96582.0,1.0,100001.0,1.0,0.004,0.0,0.2,0.005,0.01,0.0,0.0,0,0.0,-0.181
23,QUOTE_BOTH,2,34.19,34.21,34.2,34.21,34.19,34.21,1,1,,,,0,0,100,96582.0,2.0,100002.0,1.0,0.004,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.191
24,NO_QUOTE,3,34.2,34.21,34.2,34.21,34.19,34.21,0,0,34.22,BID,200.0,0,0,100,96582.0,2.0,100002.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
25,QUOTE_ASK,1,34.2,34.21,34.2,34.23,34.19,34.21,0,1,,,,0,0,100,96582.0,2.0,100002.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
26,QUOTE_ASK,1,34.2,34.23,34.2,34.23,34.2,34.22,0,1,34.23,BID,200.0,0,0,100,96582.0,2.0,100002.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
