step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BID,0,36.85,36.85,36.85,36.86,36.84,36.86,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,NO_QUOTE,3,36.85,36.86,36.85,36.86,36.84,36.86,0,0,36.85,ASK,1000.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
3,NO_QUOTE,3,36.85,36.86,36.83,36.86,36.84,36.86,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0.0,-0.1
4,NO_QUOTE,3,36.83,36.86,36.83,36.86,36.83,36.85,0,0,36.86,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3,0.0,-0.15
5,NO_QUOTE,3,36.83,36.86,36.83,36.88,36.83,36.85,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4,0.0,-0.2
6,NO_QUOTE,3,36.83,36.88,36.86,36.88,36.84,36.86,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5,-0.001,-0.25
7,QUOTE_BID,0,36.86,36.88,36.86,36.87,36.86,36.88,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8,NO_QUOTE,3,36.86,36.87,36.85,36.87,36.85,36.87,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
9,QUOTE_BOTH,2,36.85,36.87,36.83,36.85,36.85,36.87,0,1,,,,0,0,100,96315.0,-2.0,99998.0,-2.0,-0.01,-1.999,0.2,0.0,0.0,0.0,0.0,0,-0.01,-2.209
10,QUOTE_ASK,1,36.83,36.85,36.83,36.87,36.83,36.85,0,1,,,,0,0,100,96315.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
11,QUOTE_ASK,1,36.83,36.87,36.83,36.87,36.83,36.85,0,1,36.83,ASK,200.0,0,0,100,96315.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
12,QUOTE_ASK,1,36.83,36.87,36.83,36.87,36.83,36.85,0,1,36.83,ASK,300.0,0,0,100,96315.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
13,QUOTE_ASK,1,36.83,36.87,36.8,36.85,36.83,36.85,0,1,,,,0,0,100,96315.0,-5.0,99995.0,-3.0,-0.015,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.21
14,NO_QUOTE,3,36.8,36.85,36.81,36.85,36.81,36.83,0,0,,,,0,0,100,96315.0,-4.0,99996.0,1.0,0.004,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.251
15,QUOTE_ASK,1,36.81,36.85,36.81,36.87,36.82,36.84,0,1,,,,0,0,100,96315.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.01,0.0,0.0,0,0.0,-0.185
16,QUOTE_ASK,1,36.81,36.87,36.81,36.86,36.83,36.85,0,1,,,,0,0,100,96315.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
17,NO_QUOTE,3,36.81,36.86,36.81,36.84,36.82,36.84,0,0,,,,0,0,100,96315.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
18,NO_QUOTE,3,36.81,36.84,36.82,36.84,36.81,36.83,0,0,,,,0,0,100,96315.0,-3.0,99997.0,1.0,0.004,0.0,0.2,0.0,0.0,0.005,0.1,2,-0.001,-0.301
19,NO_QUOTE,3,36.82,36.84,36.82,36.85,36.82,36.84,0,0,,,,0,0,100,96315.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.15,3,-0.001,-0.355
20,NO_QUOTE,3,36.82,36.85,36.83,36.84,36.82,36.84,0,0,,,,0,0,100,96315.0,-2.0,99998.0,1.0,0.004,0.0,0.2,0.0,0.0,0.005,0.2,4,-0.001,-0.401
21,NO_QUOTE,3,36.83,36.84,36.83,36.84,36.82,36.84,0,0,36.87,BID,100.0,0,0,100,96315.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.25,5,-0.002,-0.455
22,QUOTE_ASK,1,36.83,36.84,36.84,36.87,36.82,36.84,0,0,,,,0,0,0,99999.0,-1.0,99999.0,1.0,0.004,-1.999,0.0,0.005,0.0,0.0,0.0,0,-0.009,-1.99
23,NO_QUOTE,3,36.84,36.87,36.85,36.88,36.84,36.86,0,0,,,,0,0,0,99999.0,-1.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
