step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BID,0,37.15,37.15,37.15,37.18,37.14,37.16,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,QUOTE_BOTH,2,37.15,37.18,37.15,37.17,37.15,37.17,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,QUOTE_ASK,1,37.15,37.17,37.15,37.17,37.14,37.16,0,1,37.15,ASK,1500.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4,QUOTE_BOTH,2,37.15,37.17,37.15,37.17,37.14,37.16,1,1,37.17,BID,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5,QUOTE_BID,0,37.15,37.17,37.15,37.17,37.14,37.16,1,0,37.17,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6,QUOTE_BOTH,2,37.15,37.17,37.15,37.17,37.14,37.16,1,1,37.15,ASK,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7,NO_QUOTE,3,37.15,37.17,37.15,37.17,37.14,37.16,0,0,37.17,BID,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
8,QUOTE_BOTH,2,37.15,37.17,37.15,37.17,37.14,37.16,1,1,37.17,BID,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9,QUOTE_BID,0,37.15,37.17,37.15,37.17,37.14,37.16,1,0,37.18,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
10,QUOTE_BOTH,2,37.15,37.17,37.15,37.17,37.14,37.16,1,1,37.15,ASK,6900.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11,QUOTE_BID,0,37.15,37.17,37.15,37.17,37.14,37.16,1,0,37.17,BID,500.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
12,QUOTE_BID,0,37.15,37.17,37.15,37.17,37.14,37.16,1,0,37.18,BID,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
