step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_ASK,1,37.43,37.43,37.43,37.44,37.42,37.44,0,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,NO_QUOTE,3,37.43,37.44,37.43,37.44,37.42,37.44,0,0,37.44,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
3,QUOTE_BOTH,2,37.43,37.44,37.43,37.44,37.42,37.44,1,0,37.44,BID,200.0,0,100,-100,103744.0,0.0,100000.0,0.0,0.0,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.799
4,QUOTE_BID,0,37.43,37.44,37.43,37.44,37.42,37.44,1,0,37.44,BID,1300.0,0,0,-100,103744.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
5,NO_QUOTE,3,37.43,37.44,37.43,37.44,37.42,37.44,0,0,37.43,ASK,2200.0,0,0,-100,103744.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
6,QUOTE_BID,0,37.43,37.44,37.43,37.44,37.42,37.44,1,0,37.43,ASK,300.0,0,0,-100,103744.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
7,QUOTE_BID,0,37.43,37.44,37.43,37.44,37.42,37.44,1,0,37.44,BID,500.0,0,0,-100,103744.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
8,NO_QUOTE,3,37.43,37.44,37.43,37.45,37.42,37.44,0,0,,,,0,0,-100,103744.0,-1.0,99999.0,-1.0,-0.005,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.26
9,QUOTE_BID,0,37.43,37.45,37.43,37.45,37.43,37.45,1,0,37.44,BID,400.0,0,0,-100,103744.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
10,QUOTE_BID,0,37.43,37.45,37.43,37.45,37.43,37.45,1,0,37.44,BID,300.0,0,0,-100,103744.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
