step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BOTH,2,37.65,37.66,37.65,37.67,37.64,37.66,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,QUOTE_BOTH,2,37.65,37.67,37.66,37.67,37.64,37.66,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,QUOTE_BID,0,37.66,37.67,37.66,37.67,37.65,37.67,1,0,37.66,BID,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4,QUOTE_BID,0,37.66,37.67,37.66,37.67,37.65,37.67,1,0,37.67,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5,NO_QUOTE,3,37.66,37.67,37.66,37.67,37.65,37.67,0,0,37.67,BID,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
6,QUOTE_BOTH,2,37.66,37.67,37.66,37.67,37.65,37.67,0,1,37.65,ASK,200.0,100,0,100,96235.0,1.0,100001.0,1.0,0.004,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.803
7,QUOTE_ASK,1,37.66,37.67,37.66,37.67,37.65,37.67,0,1,37.65,ASK,300.0,0,0,100,96235.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
8,QUOTE_ASK,1,37.66,37.67,37.64,37.67,37.65,37.67,0,1,,,,0,0,100,96235.0,-1.0,99999.0,-2.0,-0.01,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.205
9,QUOTE_ASK,1,37.64,37.67,37.64,37.66,37.64,37.66,0,1,,,,0,0,100,96235.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
10,NO_QUOTE,3,37.64,37.66,37.64,37.66,37.64,37.66,0,0,37.66,ASK,100.0,0,0,100,96235.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
11,QUOTE_ASK,1,37.64,37.66,37.64,37.66,37.64,37.66,0,0,37.66,BID,100.0,0,100,0,100001.0,1.0,100001.0,2.0,0.008,5.0,0.0,0.005,0.0,0.0,0.0,0,0.024,5.013
12,QUOTE_BID,0,37.64,37.66,37.64,37.66,37.64,37.66,1,0,37.65,ASK,100.0,0,0,0,100001.0,1.0,100001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
13,NO_QUOTE,3,37.64,37.66,37.64,37.66,37.64,37.66,0,0,37.66,BID,400.0,0,0,0,100001.0,1.0,100001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
14,QUOTE_BOTH,2,37.64,37.66,37.64,37.66,37.64,37.66,1,1,37.67,BID,400.0,0,0,0,100001.0,1.0,100001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
15,QUOTE_BOTH,2,37.64,37.66,37.64,37.65,37.64,37.66,1,1,,,,0,0,0,100001.0,1.0,100001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
16,QUOTE_ASK,1,37.64,37.65,37.64,37.65,37.63,37.65,0,1,37.66,BID,300.0,0,0,0,100001.0,1.0,100001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17,QUOTE_BID,0,37.64,37.65,37.64,37.65,37.63,37.65,1,0,37.66,BID,500.0,0,0,0,100001.0,1.0,100001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
18,QUOTE_BID,0,37.64,37.65,37.64,37.65,37.63,37.65,1,0,37.64,ASK,100.0,0,0,0,100001.0,1.0,100001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
19,QUOTE_BID,0,37.64,37.65,37.63,37.66,37.63,37.65,1,0,,,,0,0,0,100001.0,1.0,100001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
