step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BOTH,2,34.29,34.29,34.28,34.29,34.28,34.3,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,QUOTE_ASK,1,34.28,34.29,34.28,34.3,34.27,34.29,0,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,QUOTE_BOTH,2,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.3,BID,100.0,0,100,-100,103430.0,0.0,100000.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0,0.023,4.8
4,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.3,BID,200.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
5,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.3,BID,1000.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
6,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.3,BID,1100.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
7,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.31,BID,1200.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
8,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.32,BID,100.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
9,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.32,BID,300.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
10,QUOTE_BOTH,2,34.28,34.3,34.28,34.3,34.28,34.3,1,1,34.32,BID,600.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
11,NO_QUOTE,3,34.28,34.3,34.28,34.3,34.28,34.3,0,0,34.32,BID,1200.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
12,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.33,BID,1000.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
13,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.33,BID,800.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
14,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.33,BID,1100.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
15,NO_QUOTE,3,34.28,34.3,34.28,34.3,34.28,34.3,0,0,34.34,BID,400.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
16,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.34,BID,100.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
17,QUOTE_BID,0,34.28,34.3,34.28,34.3,34.28,34.3,1,0,34.34,BID,2900.0,0,0,-100,103430.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
