step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BID,0,34.75,34.75,34.75,34.77,34.74,34.76,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,NO_QUOTE,3,34.75,34.77,34.75,34.76,34.75,34.77,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
3,QUOTE_BID,0,34.75,34.76,34.75,34.76,34.74,34.76,1,0,34.77,BID,500.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4,QUOTE_BID,0,34.75,34.76,34.75,34.76,34.74,34.76,1,0,34.77,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5,QUOTE_ASK,1,34.75,34.76,34.75,34.76,34.74,34.76,0,1,34.77,BID,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6,QUOTE_BOTH,2,34.75,34.76,34.75,34.78,34.74,34.76,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7,NO_QUOTE,3,34.75,34.78,34.77,34.78,34.75,34.77,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
8,QUOTE_BOTH,2,34.77,34.78,34.77,34.78,34.76,34.78,1,1,34.77,ASK,1000.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9,QUOTE_BID,0,34.77,34.78,34.76,34.78,34.76,34.78,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0,0.0,0.01
10,QUOTE_BID,0,34.76,34.78,34.76,34.78,34.75,34.77,1,0,34.78,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11,QUOTE_ASK,1,34.76,34.78,34.76,34.78,34.75,34.77,0,1,34.77,ASK,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
12,QUOTE_BID,0,34.76,34.78,34.76,34.78,34.75,34.77,1,0,34.78,BID,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
13,NO_QUOTE,3,34.76,34.78,34.76,34.79,34.75,34.77,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
14,QUOTE_BOTH,2,34.76,34.79,34.78,34.79,34.76,34.78,1,0,,,,0,0,-100,103478.0,-1.0,99999.0,-1.0,-0.005,0.0,0.2,0.0,0.0,0.0,0.0,0,-0.001,-0.205
15,NO_QUOTE,3,34.78,34.79,34.78,34.79,34.77,34.79,0,0,34.79,BID,100.0,0,0,-100,103478.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
