step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BID,0,34.16,34.16,34.16,34.17,34.15,34.17,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,QUOTE_BID,0,34.16,34.17,34.16,34.17,34.15,34.17,1,0,34.17,BID,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,NO_QUOTE,3,34.16,34.17,34.16,34.17,34.15,34.17,0,0,34.16,ASK,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
4,QUOTE_BOTH,2,34.16,34.17,34.15,34.17,34.15,34.17,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5,NO_QUOTE,3,34.15,34.17,34.15,34.17,34.14,34.16,0,0,34.17,BID,600.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
6,NO_QUOTE,3,34.15,34.17,34.15,34.17,34.14,34.16,0,0,34.17,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0.0,-0.1
7,QUOTE_BOTH,2,34.15,34.17,34.15,34.17,34.14,34.16,1,1,34.17,BID,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8,QUOTE_ASK,1,34.15,34.17,34.15,34.18,34.14,34.16,0,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9,NO_QUOTE,3,34.15,34.18,34.15,34.18,34.15,34.17,0,0,34.18,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
10,QUOTE_BID,0,34.15,34.18,34.15,34.18,34.15,34.17,1,0,34.18,BID,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11,QUOTE_BOTH,2,34.15,34.18,34.15,34.18,34.15,34.17,1,1,34.18,BID,1400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
12,QUOTE_BOTH,2,34.15,34.18,34.15,34.19,34.15,34.17,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0,0.0,0.01
13,NO_QUOTE,3,34.15,34.19,34.18,34.19,34.16,34.18,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
14,QUOTE_BOTH,2,34.18,34.19,34.18,34.19,34.17,34.19,1,0,34.19,BID,100.0,0,100,-100,103419.0,0.0,100000.0,0.0,0.0,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.799
15,QUOTE_BID,0,34.18,34.19,34.18,34.19,34.17,34.19,1,0,34.18,ASK,1100.0,0,0,-100,103419.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
16,QUOTE_BID,0,34.18,34.19,34.16,34.19,34.17,34.19,1,0,,,,0,0,-100,103419.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
17,QUOTE_BID,0,34.16,34.19,34.17,34.19,34.16,34.18,1,0,,,,0,0,-100,103419.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
18,QUOTE_BID,0,34.17,34.19,34.17,34.19,34.17,34.19,1,0,34.16,ASK,100.0,0,0,-100,103419.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
19,QUOTE_BID,0,34.17,34.19,34.16,34.18,34.17,34.19,1,0,,,,0,0,-100,103419.0,1.0,100001.0,1.0,0.004,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.191
20,QUOTE_BID,0,34.16,34.18,34.16,34.18,34.16,34.18,1,0,34.18,BID,200.0,0,0,-100,103419.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
21,QUOTE_BID,0,34.16,34.18,34.16,34.18,34.16,34.18,1,0,34.19,BID,300.0,0,0,-100,103419.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
