step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_ASK,1,36.22,36.22,36.22,36.24,36.21,36.23,0,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,QUOTE_BID,0,36.22,36.24,36.23,36.24,36.22,36.24,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,NO_QUOTE,3,36.23,36.24,36.23,36.24,36.22,36.24,0,0,36.22,ASK,500.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
4,QUOTE_BID,0,36.23,36.24,36.23,36.24,36.22,36.24,0,0,36.22,ASK,300.0,100,0,100,96378.0,1.0,100001.0,1.0,0.004,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.803
5,QUOTE_ASK,1,36.23,36.24,36.23,36.24,36.22,36.24,0,1,36.21,ASK,500.0,0,0,100,96378.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
6,NO_QUOTE,3,36.23,36.24,36.23,36.24,36.22,36.24,0,0,36.2,ASK,100.0,0,0,100,96378.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
7,QUOTE_ASK,1,36.23,36.24,36.2,36.24,36.22,36.24,0,1,,,,0,0,100,96378.0,-2.0,99998.0,-3.0,-0.015,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.21
8,QUOTE_ASK,1,36.2,36.24,36.2,36.24,36.21,36.23,0,1,36.24,BID,100.0,0,0,100,96378.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
9,QUOTE_ASK,1,36.2,36.24,36.2,36.24,36.21,36.23,0,1,36.24,BID,200.0,0,0,100,96378.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
10,QUOTE_ASK,1,36.2,36.24,36.21,36.24,36.21,36.23,0,1,,,,0,0,100,96378.0,-1.0,99999.0,1.0,0.004,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.191
11,QUOTE_BOTH,2,36.21,36.24,36.21,36.24,36.21,36.23,1,1,36.22,ASK,200.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
12,QUOTE_ASK,1,36.21,36.24,36.21,36.24,36.21,36.23,0,1,36.22,ASK,100.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
13,NO_QUOTE,3,36.21,36.24,36.21,36.22,36.21,36.23,0,0,,,,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
14,QUOTE_ASK,1,36.21,36.22,36.21,36.22,36.2,36.22,0,1,36.21,ASK,300.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
15,QUOTE_ASK,1,36.21,36.22,36.21,36.22,36.2,36.22,0,1,36.21,ASK,2600.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
16,QUOTE_ASK,1,36.21,36.22,36.21,36.22,36.2,36.22,0,1,36.21,ASK,2200.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
17,QUOTE_ASK,1,36.21,36.22,36.21,36.22,36.2,36.22,0,1,36.24,BID,400.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
18,QUOTE_ASK,1,36.21,36.22,36.21,36.22,36.2,36.22,0,1,36.24,BID,1000.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
19,QUOTE_ASK,1,36.21,36.22,36.21,36.22,36.2,36.22,0,1,36.24,BID,500.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
20,QUOTE_BOTH,2,36.21,36.22,36.21,36.22,36.2,36.22,1,1,36.24,BID,700.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
21,QUOTE_ASK,1,36.21,36.22,36.21,36.22,36.2,36.22,0,1,36.24,BID,300.0,0,0,100,96378.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
22,QUOTE_ASK,1,36.21,36.22,36.23,36.25,36.2,36.22,0,0,,,,0,0,0,100000.0,0.0,100000.0,1.0,0.004,-1.999,0.0,0.005,0.0,0.0,0.0,0,-0.009,-1.99
23,NO_QUOTE,3,36.23,36.25,36.24,36.25,36.22,36.24,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
24,QUOTE_BOTH,2,36.24,36.25,36.24,36.25,36.23,36.25,1,1,36.24,ASK,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
25,QUOTE_ASK,1,36.24,36.25,36.24,36.25,36.23,36.25,0,1,36.24,ASK,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
26,QUOTE_BID,0,36.24,36.25,36.24,36.25,36.23,36.25,1,0,36.25,BID,600.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
27,QUOTE_ASK,1,36.24,36.25,36.24,36.25,36.23,36.25,0,0,36.25,BID,400.0,0,100,-100,103625.0,0.0,100000.0,0.0,0.0,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.799
28,QUOTE_BID,0,36.24,36.25,36.24,36.26,36.23,36.25,1,0,,,,0,0,-100,103625.0,-1.0,99999.0,-1.0,-0.005,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.2
29,QUOTE_BID,0,36.24,36.26,36.25,36.26,36.24,36.26,1,0,,,,0,0,-100,103625.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
30,QUOTE_BID,0,36.25,36.26,36.25,36.26,36.24,36.26,1,0,36.25,ASK,300.0,0,0,-100,103625.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
31,QUOTE_BID,0,36.25,36.26,36.25,36.26,36.24,36.26,1,0,36.25,ASK,100.0,0,0,-100,103625.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
32,QUOTE_BID,0,36.25,36.26,36.25,36.26,36.24,36.26,1,0,36.25,BID,100.0,0,0,-100,103625.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
33,QUOTE_BID,0,36.25,36.26,36.25,36.26,36.24,36.26,1,0,36.26,BID,100.0,0,0,-100,103625.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
34,QUOTE_BID,0,36.25,36.26,36.25,36.26,36.24,36.26,1,0,36.26,BID,400.0,0,0,-100,103625.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
35,QUOTE_BID,0,36.25,36.26,36.25,36.26,36.24,36.26,1,0,36.26,BID,500.0,0,0,-100,103625.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
36,QUOTE_BID,0,36.25,36.26,36.24,36.27,36.24,36.26,1,0,,,,0,0,-100,103625.0,-2.0,99998.0,-1.0,-0.005,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.2
37,QUOTE_BID,0,36.24,36.27,36.25,36.27,36.24,36.26,1,0,,,,0,0,-100,103625.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
38,QUOTE_BID,0,36.25,36.27,36.25,36.27,36.25,36.27,1,0,36.27,BID,100.0,0,0,-100,103625.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
39,QUOTE_BID,0,36.25,36.27,36.25,36.27,36.25,36.27,1,0,36.27,BID,300.0,0,0,-100,103625.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
40,QUOTE_BID,0,36.25,36.27,36.25,36.27,36.25,36.27,1,0,36.28,BID,100.0,0,0,-100,103625.0,-2.0,99998.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
41,QUOTE_BID,0,36.25,36.27,36.25,36.28,36.25,36.27,1,0,,,,0,0,-100,103625.0,-3.0,99997.0,-1.0,-0.005,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.2
42,QUOTE_BID,0,36.25,36.28,36.26,36.28,36.25,36.27,1,0,,,,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
43,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.28,BID,400.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
44,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.29,BID,1000.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
45,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.29,BID,400.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
46,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.29,BID,100.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
47,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.29,BID,300.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
48,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.3,BID,300.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
49,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.3,BID,500.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
50,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.3,BID,1000.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
51,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.3,BID,100.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
52,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.31,BID,600.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
53,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.31,BID,500.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
54,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.31,BID,5000.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
55,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.32,BID,400.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
56,QUOTE_BID,0,36.26,36.28,36.26,36.28,36.25,36.27,1,0,36.32,BID,700.0,0,0,-100,103625.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
57,QUOTE_BID,0,36.26,36.28,36.26,36.32,36.25,36.27,1,0,,,,0,0,-100,103625.0,-7.0,99993.0,-4.0,-0.02,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.215
58,QUOTE_BID,0,36.26,36.32,36.27,36.32,36.28,36.3,1,0,,,,0,0,-100,103625.0,-7.0,99993.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
59,QUOTE_BID,0,36.27,36.32,36.27,36.33,36.28,36.3,1,0,,,,0,0,-100,103625.0,-8.0,99992.0,-1.0,-0.005,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.2
60,QUOTE_BID,0,36.27,36.33,36.28,36.33,36.28,36.3,1,0,,,,0,0,-100,103625.0,-8.0,99992.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
61,QUOTE_BID,0,36.28,36.33,36.28,36.32,36.29,36.31,1,0,,,,0,0,-100,103625.0,-7.0,99993.0,1.0,0.004,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.191
62,QUOTE_BID,0,36.28,36.32,36.27,36.31,36.28,36.3,1,0,,,,0,0,-100,103625.0,-6.0,99994.0,1.0,0.004,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.191
63,QUOTE_BID,0,36.27,36.31,36.28,36.31,36.28,36.3,1,0,,,,0,0,-100,103625.0,-6.0,99994.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
64,QUOTE_BID,0,36.28,36.31,36.28,36.31,36.28,36.3,1,0,36.32,BID,100.0,0,0,-100,103625.0,-6.0,99994.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
65,NO_QUOTE,3,36.28,36.31,36.29,36.32,36.28,36.3,0,0,,,,0,0,-100,103625.0,-7.0,99993.0,-1.0,-0.005,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.26
66,QUOTE_BID,0,36.29,36.32,36.29,36.33,36.29,36.31,1,0,,,,0,0,-100,103625.0,-8.0,99992.0,-1.0,-0.005,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.2
67,QUOTE_BID,0,36.29,36.33,36.29,36.33,36.3,36.32,1,0,36.29,ASK,200.0,0,0,-100,103625.0,-8.0,99992.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
68,QUOTE_BID,0,36.29,36.33,36.29,36.33,36.3,36.32,1,0,36.32,BID,200.0,0,0,-100,103625.0,-8.0,99992.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
69,QUOTE_BID,0,36.29,36.33,36.29,36.33,36.3,36.32,1,0,36.32,BID,300.0,0,0,-100,103625.0,-8.0,99992.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
70,QUOTE_BID,0,36.29,36.33,36.29,36.33,36.3,36.32,1,0,36.33,BID,500.0,0,0,-100,103625.0,-8.0,99992.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
71,NO_QUOTE,3,36.29,36.33,36.29,36.33,36.3,36.32,0,0,36.31,BID,100.0,0,0,-100,103625.0,-8.0,99992.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
72,QUOTE_BID,0,36.29,36.33,36.3,36.33,36.3,36.32,1,0,,,,0,0,-100,103625.0,-8.0,99992.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
73,QUOTE_BID,0,36.3,36.33,36.3,36.33,36.3,36.32,1,0,36.33,BID,100.0,0,0,-100,103625.0,-8.0,99992.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
74,QUOTE_BID,0,36.3,36.33,36.3,36.33,36.3,36.32,0,0,36.3,ASK,400.0,100,0,0,99995.0,-5.0,99995.0,3.0,0.012000000000000002,4.999,0.0,0.005,0.0,0.0,0.0,0,0.024,5.016
75,QUOTE_BOTH,2,36.3,36.33,36.3,36.33,36.3,36.32,0,1,36.3,ASK,100.0,100,0,100,96365.0,-5.0,99995.0,0.0,0.0,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.799
76,QUOTE_BOTH,2,36.3,36.33,36.3,36.33,36.3,36.32,0,1,36.3,ASK,1900.0,100,0,200,92735.0,-5.0,99995.0,0.0,0.0,4.999,0.8,0.005,0.0,0.0,0.0,0,0.02,4.204
77,QUOTE_ASK,1,36.3,36.33,36.3,36.33,36.3,36.32,0,1,36.3,ASK,1000.0,0,0,200,92735.0,-5.0,99995.0,0.0,0.0,0.0,0.8,0.01,0.0,0.0,0.0,0,-0.003,-0.79
78,QUOTE_ASK,1,36.3,36.33,36.29,36.3,36.3,36.32,0,1,,,,0,0,200,92735.0,-7.0,99993.0,-2.0,-0.01,0.0,0.8,0.01,0.0,0.0,0.0,0,-0.003,-0.8
79,QUOTE_ASK,1,36.29,36.3,36.29,36.3,36.28,36.3,0,0,36.3,BID,5500.0,0,100,100,96365.0,-6.0,99994.0,1.0,0.004,5.0,0.2,0.01,0.0,0.0,0.0,0,0.023,4.814
80,QUOTE_ASK,1,36.29,36.3,36.29,36.3,36.28,36.3,0,0,36.3,BID,900.0,0,100,0,99995.0,-5.0,99995.0,1.0,0.004,5.0,0.0,0.005,0.0,0.0,0.0,0,0.024,5.009
81,QUOTE_BID,0,36.29,36.3,36.29,36.3,36.28,36.3,1,0,36.3,BID,200.0,0,0,0,99995.0,-5.0,99995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
82,QUOTE_BID,0,36.29,36.3,36.29,36.3,36.28,36.3,1,0,36.29,ASK,100.0,0,0,0,99995.0,-5.0,99995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
83,NO_QUOTE,3,36.29,36.3,36.29,36.3,36.28,36.3,0,0,36.29,ASK,300.0,0,0,0,99995.0,-5.0,99995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
84,QUOTE_BID,0,36.29,36.3,36.29,36.3,36.28,36.3,1,0,36.29,ASK,800.0,0,0,0,99995.0,-5.0,99995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
85,QUOTE_BID,0,36.29,36.3,36.29,36.3,36.28,36.3,1,0,36.29,ASK,600.0,0,0,0,99995.0,-5.0,99995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
86,NO_QUOTE,3,36.29,36.3,36.28,36.29,36.28,36.3,0,0,,,,0,0,0,99995.0,-5.0,99995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
87,QUOTE_ASK,1,36.28,36.29,36.28,36.29,36.27,36.29,0,1,36.28,ASK,100.0,0,0,0,99995.0,-5.0,99995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
88,QUOTE_BOTH,2,36.28,36.29,36.28,36.29,36.27,36.29,1,1,36.28,ASK,500.0,0,0,0,99995.0,-5.0,99995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
89,QUOTE_BOTH,2,36.28,36.29,36.27,36.29,36.27,36.29,1,1,,,,0,0,0,99995.0,-5.0,99995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
90,QUOTE_ASK,1,36.27,36.29,36.27,36.29,36.27,36.29,0,0,36.29,BID,200.0,0,100,-100,103624.0,-5.0,99995.0,0.0,0.0,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.799
91,QUOTE_BID,0,36.27,36.29,36.27,36.29,36.27,36.29,1,0,36.31,BID,200.0,0,0,-100,103624.0,-5.0,99995.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
92,QUOTE_BID,0,36.27,36.29,36.31,36.32,36.27,36.29,1,0,,,,0,0,-100,103624.0,-8.0,99992.0,-3.0,-0.015,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.21
93,QUOTE_BID,0,36.31,36.32,36.31,36.32,36.3,36.32,1,0,36.31,ASK,100.0,0,0,-100,103624.0,-8.0,99992.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
94,QUOTE_BID,0,36.31,36.32,36.29,36.31,36.3,36.32,1,0,,,,0,0,-100,103624.0,-7.0,99993.0,1.0,0.004,0.0,0.2,0.005,0.01,0.0,0.0,0,0.0,-0.181
95,QUOTE_BID,0,36.29,36.31,36.29,36.31,36.28,36.3,1,0,36.32,BID,1500.0,0,0,-100,103624.0,-7.0,99993.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
96,NO_QUOTE,3,36.29,36.31,36.32,36.33,36.28,36.3,0,0,,,,0,0,-100,103624.0,-9.0,99991.0,-2.0,-0.01,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.265
97,QUOTE_BID,0,36.32,36.33,36.32,36.33,36.31,36.33,1,0,36.32,ASK,800.0,0,0,-100,103624.0,-9.0,99991.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
98,QUOTE_BID,0,36.32,36.33,36.32,36.33,36.31,36.33,1,0,36.3,ASK,300.0,0,0,-100,103624.0,-9.0,99991.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
99,QUOTE_BID,0,36.32,36.33,36.32,36.33,36.31,36.33,1,0,36.34,BID,500.0,0,0,-100,103624.0,-9.0,99991.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
100,QUOTE_BID,0,36.32,36.33,36.3,36.34,36.31,36.33,1,0,,,,0,0,-100,103624.0,-10.0,99990.0,-1.0,-0.005,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.2
101,QUOTE_BID,0,36.3,36.34,36.3,36.34,36.31,36.33,1,0,36.29,ASK,400.0,0,0,-100,103624.0,-10.0,99990.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
102,QUOTE_BID,0,36.3,36.34,36.3,36.34,36.31,36.33,1,0,36.29,BID,500.0,0,0,-100,103624.0,-10.0,99990.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
103,QUOTE_BID,0,36.3,36.34,36.3,36.34,36.31,36.33,1,0,36.29,ASK,700.0,0,0,-100,103624.0,-10.0,99990.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
104,QUOTE_BID,0,36.3,36.34,36.27,36.3,36.31,36.33,0,0,,,,0,0,0,99993.0,-7.0,99993.0,3.0,0.012000000000000002,-6.0,0.0,0.005,0.0,0.0,0.0,0,-0.029,-5.983
105,NO_QUOTE,3,36.27,36.3,36.28,36.3,36.27,36.29,0,0,,,,0,0,0,99993.0,-7.0,99993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
106,QUOTE_BOTH,2,36.28,36.3,36.28,36.3,36.28,36.3,1,1,36.29,ASK,500.0,0,0,0,99993.0,-7.0,99993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
107,NO_QUOTE,3,36.28,36.3,36.3,36.32,36.28,36.3,0,0,,,,0,0,0,99993.0,-7.0,99993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
108,NO_QUOTE,3,36.3,36.32,36.3,36.32,36.3,36.32,0,0,36.3,ASK,1600.0,0,0,0,99993.0,-7.0,99993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0.0,-0.1
109,QUOTE_BOTH,2,36.3,36.32,36.3,36.32,36.3,36.32,1,1,36.3,2,100.0,0,0,0,99993.0,-7.0,99993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
