step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BID,0,36.7,36.7,36.7,36.73,36.69,36.71,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,QUOTE_ASK,1,36.7,36.73,36.71,36.73,36.7,36.72,0,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,QUOTE_BID,0,36.71,36.73,36.71,36.72,36.71,36.73,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4,QUOTE_BID,0,36.71,36.72,36.7,36.72,36.7,36.72,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5,NO_QUOTE,3,36.7,36.72,36.7,36.72,36.7,36.72,0,0,36.7,ASK,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
6,QUOTE_BID,0,36.7,36.72,36.7,36.72,36.7,36.72,0,0,36.7,ASK,700.0,100,0,100,96330.0,0.0,100000.0,0.0,0.0,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.799
7,QUOTE_ASK,1,36.7,36.72,36.7,36.72,36.7,36.72,0,1,36.68,ASK,200.0,0,0,100,96330.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
8,QUOTE_ASK,1,36.7,36.72,36.68,36.72,36.7,36.72,0,1,,,,0,0,100,96330.0,-2.0,99998.0,-2.0,-0.01,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.205
9,QUOTE_BOTH,2,36.68,36.72,36.67,36.72,36.69,36.71,1,1,,,,0,0,100,96330.0,-3.0,99997.0,-1.0,-0.005,0.0,0.2,0.005,0.01,0.0,0.0,0,0.0,-0.19
10,QUOTE_BOTH,2,36.67,36.72,36.67,36.72,36.68,36.7,1,1,36.72,BID,100.0,0,0,100,96330.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
11,QUOTE_ASK,1,36.67,36.72,36.67,36.71,36.68,36.7,0,1,,,,0,0,100,96330.0,-3.0,99997.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
12,QUOTE_ASK,1,36.67,36.71,36.66,36.71,36.68,36.7,0,1,,,,0,0,100,96330.0,-4.0,99996.0,-1.0,-0.005,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.2
13,QUOTE_ASK,1,36.66,36.71,36.66,36.71,36.67,36.69,0,1,36.67,ASK,700.0,0,0,100,96330.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
14,QUOTE_BOTH,2,36.66,36.71,36.66,36.71,36.67,36.69,1,1,36.66,ASK,100.0,0,0,100,96330.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
15,QUOTE_ASK,1,36.66,36.71,36.66,36.71,36.67,36.69,0,1,36.66,ASK,2000.0,0,0,100,96330.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
16,QUOTE_ASK,1,36.66,36.71,36.66,36.7,36.67,36.69,0,1,,,,0,0,100,96330.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
17,NO_QUOTE,3,36.66,36.7,36.7,36.71,36.67,36.69,0,0,,,,0,0,100,96330.0,0.0,100000.0,4.0,0.016,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.239
18,QUOTE_BID,0,36.7,36.71,36.7,36.71,36.69,36.71,1,0,36.7,ASK,100.0,0,0,100,96330.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,-0.2
19,QUOTE_ASK,1,36.7,36.71,36.7,36.71,36.69,36.71,0,1,36.7,ASK,200.0,0,0,100,96330.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
20,QUOTE_ASK,1,36.7,36.71,36.7,36.71,36.69,36.71,0,1,36.72,BID,300.0,0,0,100,96330.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
21,QUOTE_ASK,1,36.7,36.71,36.7,36.71,36.69,36.71,0,1,36.72,BID,400.0,0,0,100,96330.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
22,QUOTE_ASK,1,36.7,36.71,36.7,36.71,36.69,36.71,0,1,36.72,BID,200.0,0,0,100,96330.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
23,QUOTE_ASK,1,36.7,36.71,36.7,36.71,36.69,36.71,0,1,36.72,BID,900.0,0,0,100,96330.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
24,QUOTE_BID,0,36.7,36.71,36.7,36.71,36.69,36.71,1,0,36.73,BID,100.0,0,0,100,96330.0,0.0,100000.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,-0.2
