step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BOTH,2,34.58,34.58,34.56,34.58,34.57,34.59,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,QUOTE_BID,0,34.56,34.58,34.57,34.58,34.56,34.58,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,QUOTE_ASK,1,34.57,34.58,34.56,34.59,34.56,34.58,0,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4,QUOTE_BID,0,34.56,34.59,34.56,34.59,34.56,34.58,1,0,34.59,BID,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5,QUOTE_ASK,1,34.56,34.59,34.56,34.59,34.56,34.58,0,1,34.56,ASK,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6,QUOTE_BOTH,2,34.56,34.59,34.57,34.59,34.56,34.58,1,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7,QUOTE_BID,0,34.57,34.59,34.57,34.59,34.57,34.59,1,0,34.56,ASK,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8,QUOTE_BID,0,34.57,34.59,34.57,34.59,34.57,34.59,1,0,34.59,BID,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9,NO_QUOTE,3,34.57,34.59,34.57,34.59,34.57,34.59,0,0,34.57,ASK,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
10,QUOTE_BID,0,34.57,34.59,34.57,34.59,34.57,34.59,1,0,34.57,2,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11,NO_QUOTE,3,34.57,34.59,34.57,34.59,34.57,34.59,0,0,34.56,ASK,1800.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
12,NO_QUOTE,3,34.57,34.59,34.57,34.59,34.57,34.59,0,0,34.56,ASK,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0.0,-0.1
13,NO_QUOTE,3,34.57,34.59,34.55,34.58,34.57,34.59,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3,0.0,-0.15
14,QUOTE_BID,0,34.55,34.58,34.55,34.57,34.55,34.57,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
15,QUOTE_BID,0,34.55,34.57,34.55,34.57,34.55,34.57,1,0,34.57,BID,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
16,NO_QUOTE,3,34.55,34.57,34.56,34.57,34.55,34.57,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
17,NO_QUOTE,3,34.56,34.57,34.56,34.57,34.55,34.57,0,0,34.57,BID,1000.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0.0,-0.1
18,NO_QUOTE,3,34.56,34.57,34.56,34.57,34.55,34.57,0,0,34.55,ASK,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3,0.0,-0.15
19,QUOTE_BID,0,34.56,34.57,34.56,34.57,34.55,34.57,0,0,34.55,ASK,100.0,100,0,100,96545.0,1.0,100001.0,1.0,0.004,4.999,0.2,0.0,0.0,0.0,0.0,0,0.023,4.803
20,QUOTE_ASK,1,34.56,34.57,34.56,34.57,34.55,34.57,0,1,34.55,ASK,600.0,0,0,100,96545.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
21,QUOTE_ASK,1,34.56,34.57,34.54,34.57,34.55,34.57,0,1,,,,0,0,100,96545.0,-1.0,99999.0,-2.0,-0.01,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.205
22,NO_QUOTE,3,34.54,34.57,34.54,34.57,34.54,34.56,0,0,34.54,ASK,100.0,0,0,100,96545.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
23,QUOTE_ASK,1,34.54,34.57,34.54,34.57,34.54,34.56,0,1,34.54,ASK,600.0,0,0,100,96545.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
24,NO_QUOTE,3,34.54,34.57,34.54,34.57,34.54,34.56,0,0,34.54,ASK,300.0,0,0,100,96545.0,-1.0,99999.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
