step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_BID,0,34.59,34.6,34.59,34.6,34.58,34.6,1,0,34.59,ASK,4000.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,QUOTE_BOTH,2,34.59,34.6,34.59,34.6,34.58,34.6,1,1,34.59,ASK,1000.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,QUOTE_BOTH,2,34.59,34.6,34.59,34.6,34.58,34.6,1,1,34.59,ASK,500.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4,NO_QUOTE,3,34.59,34.6,34.59,34.6,34.58,34.6,0,0,34.59,ASK,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
5,QUOTE_BID,0,34.59,34.6,34.59,34.6,34.58,34.6,1,0,34.59,ASK,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6,QUOTE_BID,0,34.59,34.6,34.59,34.6,34.58,34.6,1,0,34.59,ASK,2000.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7,QUOTE_BOTH,2,34.59,34.6,34.59,34.6,34.58,34.6,1,1,34.59,ASK,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8,QUOTE_ASK,1,34.59,34.6,34.59,34.6,34.58,34.6,0,1,34.58,ASK,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9,QUOTE_BID,0,34.59,34.6,34.59,34.6,34.58,34.6,0,0,34.58,ASK,1000.0,100,0,100,96542.0,1.0,100001.0,1.0,0.004,5.0,0.2,0.0,0.0,0.0,0.0,0,0.023,4.804
10,QUOTE_ASK,1,34.59,34.6,34.59,34.6,34.58,34.6,0,1,34.58,ASK,300.0,0,0,100,96542.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
11,QUOTE_ASK,1,34.59,34.6,34.59,34.6,34.58,34.6,0,1,34.57,ASK,5900.0,0,0,100,96542.0,1.0,100001.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
12,QUOTE_ASK,1,34.59,34.6,34.57,34.6,34.58,34.6,0,1,,,,0,0,100,96542.0,-1.0,99999.0,-2.0,-0.01,0.0,0.2,0.005,0.0,0.0,0.0,0,-0.001,-0.205
