step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_ASK,1,36.19,36.16,36.19,36.22,36.16,36.18,0,0,,,,0,0,-100,103618.0,-4.0,99996.0,-4.0,-0.02,-4.0,0.2,0.0,0.0,0.0,0.0,0,-0.02,-4.22
2,QUOTE_BID,0,36.19,36.22,36.18,36.22,36.19,36.21,1,0,,,,0,0,-100,103618.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
3,NO_QUOTE,3,36.18,36.22,36.2,36.22,36.19,36.21,0,0,,,,0,0,-100,103618.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
4,QUOTE_BID,0,36.2,36.22,36.2,36.22,36.2,36.22,1,0,36.19,ASK,100.0,0,0,-100,103618.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
5,NO_QUOTE,3,36.2,36.22,36.2,36.22,36.2,36.22,0,0,36.22,BID,100.0,0,0,-100,103618.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.0,0.0,0.005,0.05,1,-0.001,-0.255
6,QUOTE_BID,0,36.2,36.22,36.2,36.22,36.2,36.22,1,0,36.22,BID,300.0,0,0,-100,103618.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
7,QUOTE_BID,0,36.2,36.22,36.2,36.22,36.2,36.22,1,0,36.22,BID,800.0,0,0,-100,103618.0,-4.0,99996.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
8,QUOTE_BID,0,36.2,36.22,36.19,36.23,36.2,36.22,1,0,,,,0,0,-100,103618.0,-5.0,99995.0,-1.0,-0.005,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.2
9,QUOTE_BID,0,36.19,36.23,36.22,36.23,36.19,36.21,1,0,,,,0,0,-100,103618.0,-5.0,99995.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
10,QUOTE_BID,0,36.22,36.23,36.22,36.23,36.21,36.23,1,0,36.22,ASK,100.0,0,0,-100,103618.0,-5.0,99995.0,0.0,0.0,0.0,0.2,0.005,0.0,0.0,0.0,0,0.0,-0.195
