symbol,rpt_seq,network_received_time,event_type,md_entry_px,md_entry_size,aggressor,en_s_px_1,en_b_px_1
PETR4,3347,2025-03-05 15:30:00.072423823+00:00,book,,,,36.09,35.93
PETR4,3383,2025-03-05 15:45:00.056128480+00:00,book,,,,35.4,35.93
PETR4,5841,2025-03-05 16:08:21.755015679+00:00,trade,35.02,100.0,4.0,35.4,35.93
PETR4,5846,2025-03-05 16:08:21.755015679+00:00,trade,35.02,13600.0,4.0,35.4,35.93
PETR4,5847,2025-03-05 16:08:21.755015679+00:00,trade,35.02,400.0,4.0,35.4,35.93
PETR4,5848,2025-03-05 16:08:21.755015679+00:00,trade,35.02,1000.0,4.0,35.4,35.93
PETR4,5849,2025-03-05 16:08:21.755015679+00:00,trade,35.02,15900.0,4.0,35.4,35.93
PETR4,5850,2025-03-05 16:08:21.755015679+00:00,trade,35.02,1700.0,4.0,35.4,35.93
PETR4,5851,2025-03-05 16:08:21.755015679+00:00,trade,35.02,26000.0,4.0,35.4,35.93
PETR4,5852,2025-03-05 16:08:21.755015679+00:00,trade,35.02,5900.0,4.0,35.4,35.93
PETR4,5854,2025-03-05 16:08:21.755015679+00:00,trade,35.02,8000.0,4.0,35.4,35.93
PETR4,5855,2025-03-05 16:08:21.755015679+00:00,trade,35.02,700.0,4.0,35.4,35.93
PETR4,5856,2025-03-05 16:08:21.755015679+00:00,trade,35.02,29900.0,4.0,35.4,35.93
PETR4,5857,2025-03-05 16:08:21.755015679+00:00,trade,35.02,7900.0,4.0,35.4,35.93
PETR4,5858,2025-03-05 16:08:21.755015679+00:00,trade,35.02,800.0,4.0,35.4,35.93
PETR4,5859,2025-03-05 16:08:21.755015679+00:00,trade,35.02,1400.0,4.0,35.4,35.93
PETR4,5860,2025-03-05 16:08:21.755015679+00:00,trade,35.02,7500.0,4.0,35.4,35.93
PETR4,5861,2025-03-05 16:08:21.755015679+00:00,trade,35.02,10100.0,4.0,35.4,35.93
PETR4,5862,2025-03-05 16:08:21.755222388+00:00,trade,35.02,1900.0,4.0,35.4,35.93
PETR4,5863,2025-03-05 16:08:21.755222388+00:00,trade,35.02,7200.0,4.0,35.4,35.93
PETR4,5864,2025-03-05 16:08:21.755222388+00:00,trade,35.02,14300.0,4.0,35.4,35.93
PETR4,5865,2025-03-05 16:08:21.755222388+00:00,trade,35.02,1100.0,4.0,35.4,35.93
PETR4,5867,2025-03-05 16:08:21.755222388+00:00,trade,35.02,200.0,4.0,35.4,35.93
PETR4,5868,2025-03-05 16:08:21.755222388+00:00,trade,35.02,18300.0,4.0,35.4,35.93
PETR4,5869,2025-03-05 16:08:21.755222388+00:00,trade,35.02,500.0,4.0,35.4,35.93
PETR4,5870,2025-03-05 16:08:21.755222388+00:00,trade,35.02,300.0,4.0,35.4,35.93
PETR4,5873,2025-03-05 16:08:21.755222388+00:00,trade,35.02,6700.0,4.0,35.4,35.93
PETR4,5874,2025-03-05 16:08:21.755222388+00:00,trade,35.02,1500.0,4.0,35.4,35.93
PETR4,5876,2025-03-05 16:08:21.755222388+00:00,trade,35.02,3600.0,4.0,35.4,35.93
PETR4,5877,2025-03-05 16:08:21.755222388+00:00,trade,35.02,15400.0,4.0,35.4,35.93
PETR4,5879,2025-03-05 16:08:21.755222388+00:00,trade,35.02,8300.0,4.0,35.4,35.93
PETR4,5880,2025-03-05 16:08:21.755222388+00:00,trade,35.02,6800.0,4.0,35.4,35.93
PETR4,5882,2025-03-05 16:08:21.755413122+00:00,trade,35.02,3200.0,4.0,35.4,35.93
PETR4,5885,2025-03-05 16:08:21.755413122+00:00,trade,35.02,5400.0,4.0,35.4,35.93
PETR4,5886,2025-03-05 16:08:21.755413122+00:00,trade,35.02,5200.0,4.0,35.4,35.93
PETR4,5888,2025-03-05 16:08:21.755413122+00:00,trade,35.02,2000.0,4.0,35.4,35.93
PETR4,5893,2025-03-05 16:08:21.755413122+00:00,trade,35.02,34800.0,4.0,35.4,35.93
PETR4,5896,2025-03-05 16:08:21.755413122+00:00,trade,35.02,1300.0,4.0,35.4,35.93
PETR4,5898,2025-03-05 16:08:21.755413122+00:00,trade,35.02,900.0,4.0,35.4,35.93
