symbol,rpt_seq,network_received_time,event_type,md_entry_px,md_entry_size,aggressor,en_s_px_1,en_b_px_1
PETR4,2030,2025-03-14 13:10:12.353873+00:00,book,,,,34.6,34.59
PETR4,2053,2025-03-14 13:10:12.356599078+00:00,trade,34.59,4000.0,3.0,34.6,34.59
PETR4,2055,2025-03-14 13:10:12.356599078+00:00,trade,34.59,1000.0,3.0,34.6,34.59
PETR4,2056,2025-03-14 13:10:12.356599078+00:00,trade,34.59,500.0,3.0,34.6,34.59
PETR4,2057,2025-03-14 13:10:12.356599078+00:00,trade,34.59,300.0,3.0,34.6,34.59
PETR4,2058,2025-03-14 13:10:12.356599078+00:00,trade,34.59,100.0,3.0,34.6,34.59
PETR4,2061,2025-03-14 13:10:12.356599078+00:00,trade,34.59,2000.0,3.0,34.6,34.59
PETR4,2062,2025-03-14 13:10:12.356599078+00:00,trade,34.59,400.0,3.0,34.6,34.59
PETR4,2063,2025-03-14 13:10:12.356599078+00:00,trade,34.58,400.0,3.0,34.6,34.59
PETR4,2065,2025-03-14 13:10:12.356599078+00:00,trade,34.58,1000.0,3.0,34.6,34.59
PETR4,2066,2025-03-14 13:10:12.356599078+00:00,trade,34.58,300.0,3.0,34.6,34.59
PETR4,2067,2025-03-14 13:10:12.356599078+00:00,trade,34.57,5900.0,3.0,34.6,34.59
PETR4,2069,2025-03-14 13:10:12.356599078+00:00,book,,,,34.6,34.57
PETR4,2075,2025-03-14 13:10:12.356694847+00:00,book,,,,34.61,34.57
PETR4,2077,2025-03-14 13:10:12.356780484+00:00,book,,,,34.61,34.6
PETR4,2090,2025-03-14 13:10:12.374461435+00:00,trade,34.6,1900.0,4.0,34.61,34.6
PETR4,2107,2025-03-14 13:10:12.378714390+00:00,trade,34.57,1700.0,3.0,34.61,34.6
PETR4,2115,2025-03-14 13:10:12.380604714+00:00,trade,34.6,1700.0,4.0,34.61,34.6
PETR4,2120,2025-03-14 13:10:12.381924860+00:00,book,,,,34.59,34.57
PETR4,2124,2025-03-14 13:10:12.382358715+00:00,book,,,,34.59,34.58
PETR4,2130,2025-03-14 13:10:12.384888530+00:00,trade,34.58,100.0,3.0,34.59,34.58
PETR4,2137,2025-03-14 13:10:12.385156833+00:00,book,,,,34.61,34.58
PETR4,2140,2025-03-14 13:10:12.387940593+00:00,book,,,,34.6,34.58
PETR4,2156,2025-03-14 13:10:12.392587557+00:00,trade,34.58,900.0,3.0,34.6,34.58
PETR4,2167,2025-03-14 13:10:12.396067411+00:00,trade,34.57,100.0,3.0,34.6,34.58
PETR4,2174,2025-03-14 13:10:12.398798689+00:00,trade,34.57,4300.0,3.0,34.6,34.58
PETR4,2178,2025-03-14 13:10:12.398798689+00:00,trade,34.57,400.0,3.0,34.6,34.58
PETR4,2179,2025-03-14 13:10:12.398798689+00:00,trade,34.57,1000.0,3.0,34.6,34.58
PETR4,2180,2025-03-14 13:10:12.398798689+00:00,book,,,,34.59,34.56
PETR4,2193,2025-03-14 13:10:12.399445243+00:00,trade,34.56,400.0,3.0,34.59,34.56
PETR4,2195,2025-03-14 13:10:12.399445243+00:00,trade,34.56,500.0,3.0,34.59,34.56
PETR4,2196,2025-03-14 13:10:12.399445243+00:00,book,,,,34.59,34.550000000000004
PETR4,2200,2025-03-14 13:10:12.399587981+00:00,book,,,,34.57,34.550000000000004
PETR4,2232,2025-03-14 13:10:12.401670583+00:00,book,,,,34.56,34.550000000000004
PETR4,2242,2025-03-14 13:10:12.409492902+00:00,trade,34.56,100.0,4.0,34.56,34.550000000000004
PETR4,2243,2025-03-14 13:10:12.409492902+00:00,trade,34.56,200.0,4.0,34.56,34.550000000000004
PETR4,2257,2025-03-14 13:10:12.436711229+00:00,trade,34.59,200.0,4.0,34.56,34.550000000000004
PETR4,2262,2025-03-14 13:10:12.443675712+00:00,book,,,,34.57,34.56
PETR4,2265,2025-03-14 13:10:12.450826004+00:00,trade,34.57,200.0,4.0,34.57,34.56
PETR4,2268,2025-03-14 13:10:12.451137722+00:00,trade,34.57,800.0,4.0,34.57,34.56
PETR4,2269,2025-03-14 13:10:12.451137722+00:00,book,,,,34.58,34.56
PETR4,2284,2025-03-14 13:10:12.468725994+00:00,book,,,,34.58,34.57
PETR4,2292,2025-03-14 13:10:12.495950580+00:00,trade,34.58,200.0,4.0,34.58,34.57
PETR4,2329,2025-03-14 13:10:12.507098883+00:00,trade,34.57,100.0,4.0,34.58,34.57
PETR4,2333,2025-03-14 13:10:12.507667273+00:00,trade,34.57,1600.0,4.0,34.58,34.57
PETR4,2341,2025-03-14 13:10:12.525544196+00:00,trade,34.57,300.0,4.0,34.58,34.57
PETR4,2345,2025-03-14 13:10:12.535554588+00:00,trade,34.57,200.0,3.0,34.58,34.57
PETR4,2349,2025-03-14 13:10:12.540258855+00:00,trade,34.57,500.0,3.0,34.58,34.57
PETR4,2388,2025-03-14 13:10:12.627286538+00:00,trade,34.56,100.0,3.0,34.58,34.57
PETR4,2516,2025-03-14 13:10:12.708843+00:00,trade,34.56,600.0,3.0,34.58,34.57
PETR4,2517,2025-03-14 13:10:12.708843+00:00,trade,34.56,3500.0,3.0,34.58,34.57
PETR4,2542,2025-03-14 13:10:12.792084262+00:00,trade,34.56,1200.0,3.0,34.58,34.57
PETR4,2543,2025-03-14 13:10:12.792084262+00:00,trade,34.56,1100.0,3.0,34.58,34.57
PETR4,2688,2025-03-14 13:10:13.174013793+00:00,trade,34.550000000000004,200.0,3.0,34.58,34.57
PETR4,2690,2025-03-14 13:10:13.174013793+00:00,trade,34.550000000000004,800.0,3.0,34.58,34.57
PETR4,2760,2025-03-14 13:10:13.676331937+00:00,trade,34.550000000000004,100.0,3.0,34.58,34.57
PETR4,2764,2025-03-14 13:10:13.676718220+00:00,trade,34.550000000000004,1000.0,3.0,34.58,34.57
PETR4,2765,2025-03-14 13:10:13.676718220+00:00,book,,,,34.57,34.54
PETR4,2869,2025-03-14 13:10:15.101457946+00:00,trade,34.54,100.0,3.0,34.57,34.54
PETR4,2882,2025-03-14 13:10:16.561895281+00:00,trade,34.550000000000004,300.0,3.0,34.57,34.54
PETR4,2886,2025-03-14 13:10:16.562252872+00:00,trade,34.550000000000004,700.0,3.0,34.57,34.54
PETR4,2899,2025-03-14 13:10:17.003532767+00:00,book,,,,34.56,34.54
PETR4,3098,2025-03-14 13:10:19.489760801+00:00,book,,,,34.550000000000004,34.54
PETR4,3106,2025-03-14 13:10:19.545868300+00:00,trade,34.54,200.0,3.0,34.550000000000004,34.54
PETR4,3107,2025-03-14 13:10:19.545868300+00:00,trade,34.54,500.0,3.0,34.550000000000004,34.54
PETR4,3110,2025-03-14 13:10:19.545868300+00:00,trade,34.54,900.0,3.0,34.550000000000004,34.54
PETR4,3115,2025-03-14 13:10:19.546320893+00:00,trade,34.54,400.0,3.0,34.550000000000004,34.54
PETR4,3118,2025-03-14 13:10:19.546320893+00:00,trade,34.54,1300.0,3.0,34.550000000000004,34.54
PETR4,3120,2025-03-14 13:10:19.546320893+00:00,trade,34.54,1000.0,3.0,34.550000000000004,34.54
PETR4,3121,2025-03-14 13:10:19.546320893+00:00,book,,,,34.550000000000004,34.53
PETR4,3211,2025-03-14 13:10:20.655685790+00:00,trade,34.550000000000004,100.0,4.0,34.550000000000004,34.53
PETR4,3241,2025-03-14 13:10:22.039431371+00:00,trade,34.550000000000004,300.0,4.0,34.550000000000004,34.53
PETR4,3243,2025-03-14 13:10:22.039431371+00:00,book,,,,34.56,34.53
PETR4,3307,2025-03-14 13:10:22.597572967+00:00,trade,34.56,1000.0,4.0,34.56,34.53
PETR4,3389,2025-03-14 13:10:23.550803997+00:00,trade,34.550000000000004,900.0,3.0,34.56,34.53
PETR4,3443,2025-03-14 13:10:24.336517930+00:00,trade,34.550000000000004,100.0,2.0,34.56,34.53
PETR4,3574,2025-03-14 13:10:27.609981142+00:00,trade,34.550000000000004,200.0,4.0,34.56,34.53
PETR4,3577,2025-03-14 13:10:27.617022872+00:00,trade,34.53,100.0,3.0,34.56,34.53
PETR4,3579,2025-03-14 13:10:27.617022872+00:00,trade,34.53,200.0,3.0,34.56,34.53
PETR4,3580,2025-03-14 13:10:27.617022872+00:00,book,,,,34.550000000000004,34.52
PETR4,3619,2025-03-14 13:10:28.733463064+00:00,trade,34.54,100.0,4.0,34.550000000000004,34.52
PETR4,3620,2025-03-14 13:10:28.733463064+00:00,trade,34.550000000000004,900.0,4.0,34.550000000000004,34.52
PETR4,3624,2025-03-14 13:10:28.733920760+00:00,trade,34.52,600.0,3.0,34.550000000000004,34.52
