symbol,rpt_seq,network_received_time,event_type,md_entry_px,md_entry_size,aggressor,en_s_px_1,en_b_px_1
PETR4,882466,2025-03-26 13:03:31.941573799+00:00,book,,,,37.15,37.15
PETR4,882468,2025-03-26 13:03:31.941573799+00:00,book,,,,37.18,37.15
PETR4,882477,2025-03-26 13:03:31.941825561+00:00,book,,,,37.17,37.15
PETR4,882696,2025-03-26 13:03:31.972220011+00:00,trade,37.15,1500.0,3.0,37.17,37.15
PETR4,882699,2025-03-26 13:03:31.973880894+00:00,trade,37.17,200.0,4.0,37.17,37.15
PETR4,882810,2025-03-26 13:03:32.005821966+00:00,trade,37.17,100.0,4.0,37.17,37.15
PETR4,882844,2025-03-26 13:03:32.092326872+00:00,trade,37.15,100.0,3.0,37.17,37.15
PETR4,882926,2025-03-26 13:03:32.154609352+00:00,trade,37.17,300.0,4.0,37.17,37.15
PETR4,882927,2025-03-26 13:03:32.154609352+00:00,trade,37.17,400.0,4.0,37.17,37.15
PETR4,882928,2025-03-26 13:03:32.154609352+00:00,trade,37.18,100.0,4.0,37.17,37.15
PETR4,882949,2025-03-26 13:03:32.188632987+00:00,trade,37.15,6900.0,3.0,37.17,37.15
PETR4,882956,2025-03-26 13:03:32.190892830+00:00,trade,37.17,500.0,4.0,37.17,37.15
PETR4,882958,2025-03-26 13:03:32.190892830+00:00,trade,37.18,300.0,4.0,37.17,37.15
PETR4,883012,2025-03-26 13:03:32.465407871+00:00,trade,37.18,400.0,4.0,37.17,37.15
PETR4,883014,2025-03-26 13:03:32.465407871+00:00,trade,37.18,500.0,4.0,37.17,37.15
PETR4,883015,2025-03-26 13:03:32.465407871+00:00,trade,37.19,100.0,4.0,37.17,37.15
PETR4,883017,2025-03-26 13:03:32.465407871+00:00,trade,37.19,300.0,4.0,37.17,37.15
PETR4,883018,2025-03-26 13:03:32.465407871+00:00,book,,,,37.19,37.15
PETR4,883021,2025-03-26 13:03:32.465492763+00:00,trade,37.19,200.0,4.0,37.19,37.15
PETR4,883022,2025-03-26 13:03:32.465492763+00:00,trade,37.2,100.0,4.0,37.19,37.15
PETR4,883024,2025-03-26 13:03:32.465492763+00:00,book,,,,37.2,37.15
PETR4,883030,2025-03-26 13:03:32.466050424+00:00,book,,,,37.2,37.160000000000004
PETR4,883032,2025-03-26 13:03:32.467780992+00:00,trade,37.2,200.0,4.0,37.2,37.160000000000004
PETR4,883038,2025-03-26 13:03:32.475623794+00:00,book,,,,37.19,37.160000000000004
PETR4,883074,2025-03-26 13:03:32.612016261+00:00,book,,,,37.160000000000004,37.15
PETR4,883097,2025-03-26 13:03:32.660495184+00:00,trade,37.15,7600.0,3.0,37.160000000000004,37.15
PETR4,883102,2025-03-26 13:03:32.660983644+00:00,trade,37.15,2300.0,3.0,37.160000000000004,37.15
PETR4,883105,2025-03-26 13:03:32.661830060+00:00,trade,37.15,300.0,3.0,37.160000000000004,37.15
PETR4,883107,2025-03-26 13:03:32.661830060+00:00,trade,37.15,200.0,3.0,37.160000000000004,37.15
PETR4,883108,2025-03-26 13:03:32.661830060+00:00,book,,,,37.160000000000004,37.13
PETR4,883111,2025-03-26 13:03:32.662947774+00:00,book,,,,37.160000000000004,37.12
PETR4,883118,2025-03-26 13:03:32.664529704+00:00,book,,,,37.15,37.13
PETR4,883121,2025-03-26 13:03:32.665370837+00:00,trade,37.160000000000004,500.0,4.0,37.15,37.13
