symbol,rpt_seq,network_received_time,event_type,md_entry_px,md_entry_size,aggressor,en_s_px_1,en_b_px_1
PETR4,1300577,2025-03-27 13:03:37.240887962+00:00,book,,,,37.43,37.43
PETR4,1300579,2025-03-27 13:03:37.240887962+00:00,book,,,,37.44,37.43
PETR4,1300710,2025-03-27 13:03:37.247677214+00:00,trade,37.44,100.0,4.0,37.44,37.43
PETR4,1300712,2025-03-27 13:03:37.247677214+00:00,trade,37.44,200.0,4.0,37.44,37.43
PETR4,1300737,2025-03-27 13:03:37.253945850+00:00,trade,37.44,1300.0,4.0,37.44,37.43
PETR4,1300757,2025-03-27 13:03:37.258241564+00:00,trade,37.43,2200.0,3.0,37.44,37.43
PETR4,1300853,2025-03-27 13:03:37.305563256+00:00,trade,37.43,300.0,3.0,37.44,37.43
PETR4,1300862,2025-03-27 13:03:37.334854797+00:00,trade,37.44,500.0,4.0,37.44,37.43
PETR4,1300866,2025-03-27 13:03:37.335010067+00:00,book,,,,37.45,37.43
PETR4,1301138,2025-03-27 13:03:37.769080125+00:00,trade,37.44,400.0,4.0,37.45,37.43
PETR4,1301144,2025-03-27 13:03:37.769966856+00:00,trade,37.44,300.0,4.0,37.45,37.43
PETR4,1301151,2025-03-27 13:03:37.775455900+00:00,book,,,,37.45,37.44
PETR4,1301159,2025-03-27 13:03:37.789374523+00:00,trade,37.45,1000.0,4.0,37.45,37.44
PETR4,1301161,2025-03-27 13:03:37.789374523+00:00,trade,37.45,100.0,4.0,37.45,37.44
PETR4,1301162,2025-03-27 13:03:37.789374523+00:00,trade,37.45,2000.0,4.0,37.45,37.44
PETR4,1301164,2025-03-27 13:03:37.789374523+00:00,book,,,,37.46,37.44
PETR4,1301200,2025-03-27 13:03:37.809936702+00:00,trade,37.44,100.0,3.0,37.46,37.44
PETR4,1301276,2025-03-27 13:03:39.740541548+00:00,book,,,,37.46,37.45
PETR4,1301286,2025-03-27 13:03:41.940239213+00:00,trade,37.46,100.0,4.0,37.46,37.45
PETR4,1301303,2025-03-27 13:03:43.442500651+00:00,trade,37.46,200.0,4.0,37.46,37.45
PETR4,1301382,2025-03-27 13:03:48.993574120+00:00,trade,37.46,1300.0,4.0,37.46,37.45
PETR4,1301383,2025-03-27 13:03:48.993574120+00:00,trade,37.46,700.0,4.0,37.46,37.45
PETR4,1301384,2025-03-27 13:03:48.993574120+00:00,trade,37.46,900.0,4.0,37.46,37.45
PETR4,1301385,2025-03-27 13:03:48.993574120+00:00,trade,37.46,500.0,4.0,37.46,37.45
PETR4,1301386,2025-03-27 13:03:48.993574120+00:00,trade,37.47,900.0,4.0,37.46,37.45
PETR4,1301388,2025-03-27 13:03:48.993574120+00:00,trade,37.47,100.0,4.0,37.46,37.45
PETR4,1301390,2025-03-27 13:03:48.993574120+00:00,trade,37.480000000000004,1600.0,4.0,37.46,37.45
PETR4,1301392,2025-03-27 13:03:48.993574120+00:00,book,,,,37.480000000000004,37.44
PETR4,1301398,2025-03-27 13:03:48.993856162+00:00,book,,,,37.480000000000004,37.45
PETR4,1301420,2025-03-27 13:03:49.132785119+00:00,trade,37.45,100.0,3.0,37.480000000000004,37.45
PETR4,1301426,2025-03-27 13:03:49.137178257+00:00,book,,,,37.47,37.45
PETR4,1301439,2025-03-27 13:03:49.326206677+00:00,trade,37.45,500.0,3.0,37.47,37.45
PETR4,1301441,2025-03-27 13:03:49.326206677+00:00,trade,37.45,300.0,3.0,37.47,37.45
PETR4,1301445,2025-03-27 13:03:49.326376818+00:00,book,,,,37.47,37.44
PETR4,1301464,2025-03-27 13:03:49.788923576+00:00,trade,37.44,600.0,3.0,37.47,37.44
PETR4,1301465,2025-03-27 13:03:49.788923576+00:00,trade,37.44,900.0,3.0,37.47,37.44
PETR4,1301468,2025-03-27 13:03:49.788923576+00:00,book,,,,37.47,37.43
PETR4,1301480,2025-03-27 13:03:49.789338380+00:00,trade,37.44,5800.0,4.0,37.47,37.43
PETR4,1301481,2025-03-27 13:03:49.789338380+00:00,book,,,,37.46,37.43
PETR4,1301485,2025-03-27 13:03:49.789438903+00:00,book,,,,37.46,37.42
PETR4,1301491,2025-03-27 13:03:49.789639547+00:00,book,,,,37.45,37.42
PETR4,1301547,2025-03-27 13:03:50.333617471+00:00,trade,37.44,800.0,3.0,37.45,37.42
PETR4,1301580,2025-03-27 13:03:52.391562566+00:00,trade,37.46,600.0,4.0,37.45,37.42
PETR4,1301642,2025-03-27 13:03:56.750799812+00:00,trade,37.47,700.0,4.0,37.45,37.42
PETR4,1301643,2025-03-27 13:03:56.750799812+00:00,trade,37.47,600.0,4.0,37.45,37.42
PETR4,1301646,2025-03-27 13:03:56.750799812+00:00,trade,37.480000000000004,3500.0,4.0,37.45,37.42
PETR4,1301668,2025-03-27 13:03:56.882622428+00:00,trade,37.45,400.0,3.0,37.45,37.42
PETR4,1301691,2025-03-27 13:03:57.123477794+00:00,trade,37.44,200.0,3.0,37.45,37.42
PETR4,1301779,2025-03-27 13:03:57.871827468+00:00,trade,37.43,100.0,3.0,37.45,37.42
PETR4,1301816,2025-03-27 13:03:58.439491250+00:00,trade,37.42,100.0,3.0,37.45,37.42
PETR4,1301927,2025-03-27 13:04:04.819409005+00:00,trade,37.45,400.0,4.0,37.45,37.42
PETR4,1301936,2025-03-27 13:04:06.826551169+00:00,trade,37.45,300.0,4.0,37.45,37.42
PETR4,1301949,2025-03-27 13:04:08.109790541+00:00,trade,37.42,300.0,3.0,37.45,37.42
PETR4,1301961,2025-03-27 13:04:08.365982927+00:00,trade,37.44,5000.0,3.0,37.45,37.42
PETR4,1301966,2025-03-27 13:04:08.366273515+00:00,trade,37.45,200.0,4.0,37.45,37.42
PETR4,1301968,2025-03-27 13:04:08.366273515+00:00,trade,37.45,500.0,4.0,37.45,37.42
PETR4,1301970,2025-03-27 13:04:08.366273515+00:00,trade,37.45,700.0,4.0,37.45,37.42
PETR4,1301995,2025-03-27 13:04:08.708064586+00:00,trade,37.43,500.0,3.0,37.45,37.42
PETR4,1302056,2025-03-27 13:04:10.236310616+00:00,book,,,,37.47,37.46
PETR4,1302067,2025-03-27 13:04:10.243091717+00:00,trade,37.47,500.0,4.0,37.47,37.46
PETR4,1302068,2025-03-27 13:04:10.243091717+00:00,book,,,,37.480000000000004,37.46
PETR4,1302120,2025-03-27 13:04:11.225347452+00:00,trade,37.480000000000004,1000.0,4.0,37.480000000000004,37.46
PETR4,1302141,2025-03-27 13:04:13.104922205+00:00,trade,37.46,100.0,3.0,37.480000000000004,37.46
PETR4,1302146,2025-03-27 13:04:13.252350256+00:00,trade,37.480000000000004,2700.0,4.0,37.480000000000004,37.46
PETR4,1302190,2025-03-27 13:04:17.944644183+00:00,trade,37.47,1000.0,4.0,37.480000000000004,37.46
PETR4,1302200,2025-03-27 13:04:18.453484491+00:00,trade,37.46,400.0,4.0,37.480000000000004,37.46
PETR4,1302222,2025-03-27 13:04:22.900614001+00:00,trade,37.47,200.0,4.0,37.480000000000004,37.46
PETR4,1302241,2025-03-27 13:04:24.624973349+00:00,trade,37.480000000000004,100.0,4.0,37.480000000000004,37.46
PETR4,1302246,2025-03-27 13:04:25.868498929+00:00,trade,37.45,1400.0,3.0,37.480000000000004,37.46
PETR4,1302261,2025-03-27 13:04:26.997055084+00:00,trade,37.480000000000004,700.0,4.0,37.480000000000004,37.46
PETR4,1302264,2025-03-27 13:04:26.997055084+00:00,trade,37.480000000000004,300.0,4.0,37.480000000000004,37.46
PETR4,1302265,2025-03-27 13:04:26.997055084+00:00,trade,37.480000000000004,600.0,4.0,37.480000000000004,37.46
PETR4,1302266,2025-03-27 13:04:26.997055084+00:00,trade,37.49,100.0,4.0,37.480000000000004,37.46
PETR4,1302269,2025-03-27 13:04:26.997055084+00:00,trade,37.49,900.0,4.0,37.480000000000004,37.46
PETR4,1302271,2025-03-27 13:04:26.997055084+00:00,book,,,,37.49,37.45
PETR4,1302277,2025-03-27 13:04:27.017535299+00:00,book,,,,37.49,37.46
PETR4,1302299,2025-03-27 13:04:27.242391810+00:00,trade,37.49,200.0,4.0,37.49,37.46
PETR4,1302345,2025-03-27 13:04:34.383782588+00:00,trade,37.47,4000.0,4.0,37.49,37.46
PETR4,1302349,2025-03-27 13:04:34.384073161+00:00,trade,37.47,21000.0,4.0,37.49,37.46
PETR4,1302356,2025-03-27 13:04:34.384365499+00:00,book,,,,37.480000000000004,37.47
PETR4,1302371,2025-03-27 13:04:34.799114920+00:00,book,,,,37.49,37.47
PETR4,1302372,2025-03-27 13:04:34.799114920+00:00,book,,,,37.49,37.480000000000004
PETR4,1302380,2025-03-27 13:04:34.799719907+00:00,trade,37.480000000000004,200.0,3.0,37.49,37.480000000000004
PETR4,1302395,2025-03-27 13:04:35.699384466+00:00,trade,37.47,100.0,3.0,37.49,37.480000000000004
PETR4,1302406,2025-03-27 13:04:36.940336332+00:00,trade,37.46,500.0,3.0,37.49,37.480000000000004
PETR4,1302407,2025-03-27 13:04:36.940336332+00:00,trade,37.46,900.0,3.0,37.49,37.480000000000004
PETR4,1302413,2025-03-27 13:04:36.940971859+00:00,trade,37.46,600.0,3.0,37.49,37.480000000000004
